f43|Principal Life Details|Title|""
f55|Principal Life Details|Sex|""
f56|Principal Life Details|Date Of Birth|""
f57|Principal Life Details|Previous Name|""
f58|Principal Life Details|Passport Expiry|""
f59|Principal Life Details|Nationality|""
f60|Principal Life Details|Marital Status|""
f61|Principal Life Details|Marital Contract|""
f62|Principal Life Details|Telephone (H)|""
f63|Principal Life Details|Telephone (W)|""
f64|Principal Life Details|Residential Address|""
f65|Principal Life Details|Suite/Unit Number|""
f66|Principal Life Details|Complex Name|""
f67|Principal Life Details|Street Number|""
f68|Principal Life Details|Street Name|""
f69|Principal Life Details|Suburb|""
f70|Principal Life Details|City|""
f71|Principal Life Details|Region|""
f178|Principal Life Details|Code|""
f72|Principal Life Details|Postal Address the same as Residential Address?|""
f73|Principal Life Details|Post Collection|""
f74|Principal Life Details|Number|""
f75|Principal Life Details|Suburb|""
f76|Principal Life Details|City|""
f77|Principal Life Details|Region|""
f78|Principal Life Details|Code|""
f79|Principal Life Details|Registered Tax Payer|""
f80|Principal Life Details|Inc Tax Reference Number|""
f179|Principal Life Details|Home Language|""
f44|Spouse Details|Surname|""
f84|Spouse Details|First Names|""
f85|Spouse Details|Initials|""
f86|Spouse Details|Title|""
f619|Spouse Details|Sex|""
f89|Spouse Details|Previous Name|""
f90|Spouse Details|ID or Passport Number|""
f91|Spouse Details|Passport Expiry Date|""
f92|Spouse Details|Nationality|""
f93|Spouse Details|Marital Status|""
f94|Spouse Details|Marital Contract|""
f95|Spouse Details|Telephone (H)|""
f96|Spouse Details|Telephone (W)|""
f97|Spouse Details|Cellphone|""
f98|Spouse Details|Email|""
f47|OEB Questions|How many employees work at your current company|""
f122|OEB Questions|How many employees have trade or professional qualifications at your current company?|""
f123|OEB Questions|What is your percentage interest in the business?|""
f124|OEB Questions|If self-employed, is you business based at your home?|""
f125|OEB Questions|What are your total monthly overheads|""
f126|OEB Questions|What is your percentage share of the overheads?|""
f127|OEB Questions|What is your percentage of the business turnover sales of goods and services|""
f49|Medical Questions - Principle|Height|""
f134|Medical Questions - Principle|Weight|""
f135|Medical Questions - Principle|Have you ever had unintentionly loss of more than 5 kg|""
f181|Medical Questions - Principle|If Yes, Provide more details|""
f432|Medical Questions - Principle|Date|""
f136|Medical Questions - Principle|Do you exercise regularly|""
f182|Medical Questions - Principle|If Yes, Provide more details|""
f137|Medical Questions - Principle|Do you use chronic and regular medicine?|""
f183|Medical Questions - Principle|If Yes, provide more details|""
f184|Medical Questions - Principle|Diagnosed by Doctor|""
f185|Medical Questions - Principle|Date|""
f138|Medical Questions - Principle|Have you been diagnosed or treated for any benign or malignant (cancerous) tumour or growth for example moles, skin cancer, breast cancer, prostate cancer or colon cancer?|""
f186|Medical Questions - Principle|If yes, provide details|""
f188|Medical Questions - Principle|Doctor|""
f187|Medical Questions - Principle|Date of last symptoms|""
f140|Medical Questions - Principle|Any disorders of the heart, for example rheumatic fever, heart murmur or heart valve problems, palpitations or arrhythmia, chest pain, angina, heart attack, heart failure, myocarditis, cardiomyopathy, an abnormal ECG, open or keyhole heart surgery or procedures?|""
f189|Medical Questions - Principle|If Yes, please provide more information.|""
f190|Medical Questions - Principle|Date of last symptoms|""
f191|Medical Questions - Principle|Doctor|""
f139|Medical Questions - Principle|Any porphyria, haemochromatosis, spleen, lymph or blood disorder, swollen glands or lymph nodes, bleeding disorder or clotting disorder, leukaemia or lymphatic cancer, for example anaemia, thalassemia, polycythaemia, haemophilia, idiopathic thrombocytopenic purpura (ITP), protein C or S deficiency, Von Willebrand’s disease, antiphospholipid syndrome, thrombocytopenia, leukaemia, lymphoma or myeloma?|""
f192|Medical Questions - Principle|if yes, provide more details|""
f194|Medical Questions - Principle|Doctor|""
f193|Medical Questions - Principle|Date of last symptoms|""
f141|Medical Questions - Principle|Raised cholesterol, high blood pressure or any diseases of the blood vessels or circulatory system, for example aneurysm, pain in legs when walking, deep vein thrombosis (DVT) or pulmonary embolism|""
f195|Medical Questions - Principle|If Yes, Provide Details|""
f196|Medical Questions - Principle|Doctor|""
f433|Medical Questions - Principle|Date of last symptoms|""
f142|Medical Questions - Principle|Are you adopted or do you have limited information available regarding your family history?|""
f197|Medical Questions - Principle|If yes, please provide more information|""
f144|Medical Questions - Principle|Have you had medicals done at other insurance companies within the last 12 months|""
f198|Medical Questions - Principle|Date|""
f199|Medical Questions - Principle|Company|""
f145|Medical Questions - Principle|Is this application to be considered based on a policy issued at standard terms by any insurer after being fully underwritten within the past two years|""
f207|Medical Questions - Principle|Any disorders of the nervous system, for example epilepsy or any convulsion, transient ischemic attack (TIA), stroke, brain aneurysm, blackouts, chronic or regular headaches, Parkinson’s disease, multiple sclerosis, myasthenia gravis, dementia, hydrocephalus or raised intra-cranial pressure, motor neuron disease or any other type of weakness or paralysis?|""
f210|Medical Questions - Principle|Details|""
f211|Medical Questions - Principle|Doctor|""
f212|Medical Questions - Principle|Date of last symptoms|""
f213|Medical Questions - Principle|Have you ever been diagnosed or treated for fibromyalgia, chronic fatigue syndrome or any chronic pain disorders?|""
f214|Medical Questions - Principle|Details|""
f215|Medical Questions - Principle|Doctor|""
f216|Medical Questions - Principle|Date of last symptoms|""
f217|Medical Questions - Principle|Have you ever been diagnosed, investigated or treated (by means of counselling or medicine), for stress, insomnia, anxiety, depression, bipolar mood disorder, panic attacks, post-traumatic stress disorder, obsessive compulsive disorder, any eating disorder or any other psychiatric or emotional disorders?|""
f218|Medical Questions - Principle|Details|""
f219|Medical Questions - Principle|Doctor|""
f220|Medical Questions - Principle|Date of last symptoms|""
f221|Medical Questions - Principle|Disorders of the digestive system, for example, oesophageal stenosis, achalasia, perforated or bleeding ulcer, Barrett’s oesophagitis, any hernia, irritable bowel syndrome (IBS), spastic colon, diverticulitis, inflammatory bowel disease, Crohn’s disease or ulcerative colitis, colon polyps, rectal bleeding, pancreatitis, hepatitis, chronic or recurrent diarrhea, chronic gastroenteritis, fatty liver, abnormal liver functions or coeliac disease?|""
f222|Medical Questions - Principle|Details|""
f223|Medical Questions - Principle|Doctor|""
f224|Medical Questions - Principle|Date of last symptoms|""
f225|Medical Questions - Principle|Have you ever been diagnosed, investigated or treated for any connective tissue disorder, or any auto-immune disorder, for example rheumatoid arthritis, systemic lupus erythematosus (SLE), ankylosing spondylitis, scleroderma, sarcoidosis, Sjögren’s syndrome, polymyositis, dermatomyositis, Wegener’s granulomatosis, Ehlers-Danlos syndrome or Marfan syndrome?|""
f226|Medical Questions - Principle|Details|""
f227|Medical Questions - Principle|Doctor|""
f228|Medical Questions - Principle|Date of last symptoms|""
f229|Medical Questions - Principle|Any disorders of your kidneys or bladder, like kidney stones, renal failure, nephritis, recurrent infections or abnormal urine tests (like blood or protein in the urine)?|""
f230|Medical Questions - Principle|Dteails|""
f231|Medical Questions - Principle|Doctor|""
f232|Medical Questions - Principle|Date of last symptoms|""
f233|Medical Questions - Principle|Respiratory problems, for example asthma, chronic bronchitis, emphysema, persistent coughing, recurrent lung infections, cystic fibrosis, bronchiectasis, lung fibrosis, interstitial lung disease, sleep apnoea, occupational lung disease, pneumonia, sarcoidosis or an abnormal lung function test?|""
f234|Medical Questions - Principle|Details|""
f235|Medical Questions - Principle|Doctor|""
f236|Medical Questions - Principle|Date of last symptoms|""
f264|Medical Questions - Principle|Have you ever been diagnosed with tuberculosis of the lungs or in any other area of the body, for example TB meningitis, urogenital TB, TB of the bones or spine?|""
f265|Medical Questions - Principle|Details|""
f266|Medical Questions - Principle|Doctor|""
f267|Medical Questions - Principle|Date of last symptoms|""
f336|Medical Questions - Principle|Do you know your HIV status?|""
f337|Medical Questions - Principle|If Yes, when was your last test?|""
f338|Medical Questions - Principle|Where was the test performed?|""
f339|Medical Questions - Principle|What was your result?|""
f340|Medical Questions - Principle|Have you ever used any treatment for HIV/AIDS?|""
f341|Medical Questions - Principle|If Yes, what was the indication for treatment and for how long was the treatment used?|""
f342|Medical Questions - Principle|Any back, joint, bone, muscle or chronic skin conditions, for example back or neck problems or injuries (including muscle spasms and slipped disc), osteoarthritis, gout, septic arthritis, psoriatic arthritis, fracture, joint injury, osteoporosis or osteopenia, dermatitis, eczema or psoriasis?|""
f343|Medical Questions - Principle|Details|""
f344|Medical Questions - Principle|Doctor|""
f345|Medical Questions - Principle|Date of last symptoms|""
f346|Medical Questions - Principle|Have you ever been diagnosed or treated for diabetes mellitus, impaired fasting glucose, insulin resistance or pre-diabetes, or have you ever been diagnosed or treated for thyroid, parathyroid or pituitary gland problems, or any other endocrine disorders, like diabetes insipidus, Cushing’s disease or Addison’s disease?|""
f347|Medical Questions - Principle|Details|""
f348|Medical Questions - Principle|Doctor|""
f349|Medical Questions - Principle|Date of last symptoms|""
f350|Medical Questions - Principle|Any eye, ear, nose or throat disorder, for example glaucoma, keratoconus, retinal detachment, optic neuritis, uveitis, scleritis, vision loss or blindness, tinnitus, hearing loss or deafness, vertigo or loss of balance or chronic hoarseness?|""
f351|Medical Questions - Principle|Details|""
f352|Medical Questions - Principle|Doctor|""
f353|Medical Questions - Principle|Date of last symptoms|""
f354|Medical Questions - Principle|(For Male Applicants):  Have you ever had any abnormalities of the male genital tract, for example, prostatitis, benign prostatic hyperplasia (BPH), or abnormal prostate-specific antigen (PSA) blood test?|""
f355|Medical Questions - Principle|Details|""
f356|Medical Questions - Principle|Doctor|""
f357|Medical Questions - Principle|Date of last symptoms|""
f358|Medical Questions - Principle|(For Female Applicants): Have you ever had any abnormality of the breasts, including abnormal mammogram or sonar, breast biopsy or surgery?|""
f359|Medical Questions - Principle|Details|""
f360|Medical Questions - Principle|Doctor|""
f361|Medical Questions - Principle|Date of last symptoms|""
f362|Medical Questions - Principle|(For Female Applicants): Have you ever had any disorders of the female reproductive organs (ovaries, fallopian tubes, uterus, cervix etc), including an abnormal Pap smear, cysts and endometriosis?|""
f363|Medical Questions - Principle|Details|""
f364|Medical Questions - Principle|Doctor|""
f365|Medical Questions - Principle|Date of last symptoms|""
f370|Medical Questions - Principle|(For Female Applicants): Have you had any complications due to a previous or current pregnancy, for example, pre-eclampsia, abnormal bleeding, miscarriages or depression?|""
f434|Medical Questions - Principle|Details|""
f435|Medical Questions - Principle|Doctor|""
f436|Medical Questions - Principle|Date of last symptoms|""
f437|Medical Questions - Principle|(For Female Applicants): Are you currently pregnant?|""
f438|Medical Questions - Principle|How many months?|""
f439|Medical Questions - Principle|Have you ever been diagnosed with, or are you currently experiencing symptoms associated with any sexually transmitted diseases (STD): herpes, human papilloma virus (HPV), chlamydia, gonorrhoea, cytomegalovirus etc?|""
f440|Medical Questions - Principle|Details|""
f441|Medical Questions - Principle|Doctor|""
f442|Medical Questions - Principle|Date of last symptoms|""
f443|Medical Questions - Principle|If not already mentioned, have you had any operations (including surgery to assist in weight loss), disability, accidents with injuries, hospital admissions for medical or surgical reasons, or are you aware of any future surgery, treatment or investigations that you need?|""
f444|Medical Questions - Principle|Details|""
f445|Medical Questions - Principle|Doctor|""
f446|Medical Questions - Principle|Date of last symptoms|""
f447|Medical Questions - Principle|If not already mentioned, have you had any of the following special investigations: genetic testing, tumour markers, biopsy, angiogram, MRI or CT scan, normal or abnormal back or neck X-rays, abnormal X-rays of any other body part?|""
f448|Medical Questions - Principle|Details|""
f449|Medical Questions - Principle|Doctor|""
f450|Medical Questions - Principle|Date of last symptoms|""
f451|Medical Questions - Principle|Are you awaiting results for any special investigations that have recently been done, or are you planning to seek medical advice for any symptoms or conditions that you have?|""
f452|Medical Questions - Principle|Details|""
f453|Medical Questions - Principle|Doctor|""
f454|Medical Questions - Principle|Has a proposal for assurance for health, life, dread disease (or severe illness), disability insurance or functional impairment (income continuation) ever been declined, deferred or accepted with certain provisions, for example, premium loading or any exclusions?|""
f455|Medical Questions - Principle|Details|""
f456|Medical Questions - Principle|Doctor|""
f457|Medical Questions - Principle|Have you been off work for more than seven consecutive days due to medical reasons in the last two years?|""
f458|Medical Questions - Principle|Details|""
f459|Medical Questions - Principle|Doctor|""
f460|Medical Questions - Principle|Have you ever been medically boarded, or submitted a claim for short-term or long-term disability, serious illness (dread disease) or third party benefits?|""
f461|Medical Questions - Principle|Details|""
f462|Medical Questions - Principle|Doctor|""
f463|Medical Questions - Principle|Are there any aspects of your job that exacerbate or trigger any symptoms or conditions (like allergens, stress, manual work, standing or sitting for long periods or exposure to cold environments)?|""
f464|Medical Questions - Principle|Details|""
f465|Medical Questions - Principle|Doctor|""
f466|Medical Questions - Principle|Have you ever experienced any difficulty or inability to perform your usual daily activities, (including all aspects of your occupation), or did you have to adjust your duties or activities, as a result of any medical or surgical condition?|""
f467|Medical Questions - Principle|Details|""
f468|Medical Questions - Principle|Doctor|""
f469|Medical Questions - Principle|Are there any other circumstances not disclosed on this form, which may affect the risk of insurance on your life?|""
f470|Medical Questions - Principle|Details|""
f471|Medical Questions - Principle|Doctor|""
f472|Medical Questions - Principle|Date of last symptoms|""
f473|Medical Questions - Principle|Are you adopted or do you have limited information available regarding your family history? If Yes please provide more information.|""
f474|Medical Questions - Principle|Details|""
f475|Medical Questions - Principle|Have any of your family (mother, father, siblings) passed away before the age of 50 from natural causes (any disease or illness)? If Yes please give a full description for each applicable family member, including age of death, cause of death, and all other medical conditions that this family member had.|""
f476|Medical Questions - Principle|Family Member nr 1: Family Member (eg. Father)|""
f477|Medical Questions - Principle|Family Member nr 1: Age at death|""
f478|Medical Questions - Principle|Family Member nr 1: Cause of death and any other health problems before death|""
f479|Medical Questions - Principle|Family Member nr 2: Family Member (eg. Father)|""
f480|Medical Questions - Principle|Family Member nr 2:  Age at death|""
f481|Medical Questions - Principle|Family Member nr 2: Cause of death and any other health problems before death|""
f482|Medical Questions - Principle|Family Member nr 3: Family Member (eg. Father)|""
f483|Medical Questions - Principle|Family Member nr 3:  Age at death|""
f484|Medical Questions - Principle|Family Member nr 3: Cause of death and any other health problems before death|""
f485|Medical Questions - Principle|Have any members of your direct family (mother, father, siblings), whether alive or deceased, been diagnosed or treated for breast cancer, colon cancer or any other familial cancer?|""
f486|Medical Questions - Principle|Diagnoses|""
f487|Medical Questions - Principle|Age at diagnosis|""
f488|Medical Questions - Principle|Have any members of your direct family (mother, father, siblings), whether alive or deceased, been diagnosed or treated before the age of 50 for coronary artery disease (for example, chest pain or heart attack), peripheral vascular disease (problematic circulation to the lower limbs) or stroke?|""
f489|Medical Questions - Principle|Diagnosis|""
f490|Medical Questions - Principle|Age at Diagnosis|""
f491|Medical Questions - Principle|Have any members of your direct family (mother, father, siblings), whether alive or deceased, been diagnosed or treated for any neurological disorder, motor neuron disease or muscular dystrophy (for example, Huntington’s disease, Parkinson’s disease, multiple sclerosis or Alzheimer’s disease)?|""
f492|Medical Questions - Principle|Diagnosis|""
f493|Medical Questions - Principle|Age at Diagnosis|""
f494|Medical Questions - Principle|Have any members of your direct family (mother, father, siblings), whether alive or deceased, been diagnosed or treated for polycystic kidneys?|""
f495|Medical Questions - Principle|Diagnosis|""
f496|Medical Questions - Principle|Age at Diagnosis|""
f497|Medical Questions - Principle|Have any members of your direct family (mother, father, siblings), whether alive or deceased, been diagnosed or treated for retinitis pigmentosa?|""
f498|Medical Questions - Principle|Age at Diagnosis|""
f499|Medical Questions - Principle|Have two or more direct family members (mother, father, siblings), whether alive or deceased, been diagnosed or treated for diabetes?|""
f500|Medical Questions - Principle|Diagnosis|""
f501|Medical Questions - Principle|Age at Diagnosis|""
f502|Medical Questions - Principle|Have any members of your direct family (mother, father, siblings), whether alive or deceased, been diagnosed or treated for any psychiatric disorders, for example schizophrenia, bipolar mood disorder or depression?|""
f620|Medical Questions - Principle|Details|""
f621|Medical Questions - Principle|Have any members of your direct family (mother, father, siblings), whether alive or deceased, been diagnosed or treated for any other familial diseases not mentioned above?|""
f622|Medical Questions - Principle|Diagnosis|""
f623|Medical Questions - Principle|Age at Diagnosis|""
f206|Medical Questions - Spouse|Height (without shoes)|""
f238|Medical Questions - Spouse|Weight (in clothes)|""
f239|Medical Questions - Spouse|Have you ever had unintentional weight loss of more than 5kg?|""
f240|Medical Questions - Spouse|If Yes, please give details.|""
f241|Medical Questions - Spouse|Date|""
f242|Medical Questions - Spouse|Do you exercise regularly?|""
f243|Medical Questions - Spouse|If Yes, please give details|""
f244|Medical Questions - Spouse|Do you use chronic and regular medicine?|""
f245|Medical Questions - Spouse|If Yes, please list the medicine that you use. (Please also include sleeping tablets, oral contraceptives and any non-prescription medicine, even when not used daily)|""
f246|Medical Questions - Spouse|Doctor|""
f247|Medical Questions - Spouse|Date of last symptoms|""
f248|Medical Questions - Spouse|Have you been diagnosed or treated for any benign or malignant (cancerous) tumour or growth for example moles, skin cancer, breast cancer, prostate cancer or colon cancer?|""
f249|Medical Questions - Spouse|If YES, provide details|""
f250|Medical Questions - Spouse|Date of last symptoms|""
f251|Medical Questions - Spouse|Doctor|""
f252|Medical Questions - Spouse|Any porphyria, haemochromatosis, spleen, lymph or blood disorder, swollen glands or lymph nodes, bleeding disorder or clotting disorder, leukaemia or lymphatic cancer, for example anaemia, thalassemia, polycythaemia, haemophilia, idiopathic thrombocytopenic purpura (ITP), protein C or S deficiency, Von Willebrand’s disease, antiphospholipid syndrome, thrombocytopenia, leukaemia, lymphoma or myeloma?|""
f253|Medical Questions - Spouse|Details|""
f254|Medical Questions - Spouse|Doctor|""
f255|Medical Questions - Spouse|Date of last symptoms|""
f256|Medical Questions - Spouse|Any disorders of the heart, for example rheumatic fever, heart murmur or heart valve problems, palpitations or arrhythmia, chest pain, angina, heart attack, heart failure, myocarditis, cardiomyopathy, an abnormal ECG, open or keyhole heart surgery or procedures?|""
f257|Medical Questions - Spouse|Details|""
f258|Medical Questions - Spouse|Doctor|""
f259|Medical Questions - Spouse|Date of last symptoms|""
f260|Medical Questions - Spouse|Raised cholesterol, high blood pressure or any diseases of the blood vessels or circulatory system, for example aneurysm, pain in legs when walking, deep vein thrombosis (DVT) or pulmonary embolism?|""
f261|Medical Questions - Spouse|Details|""
f262|Medical Questions - Spouse|Doctor|""
f263|Medical Questions - Spouse|Date of last symptoms|""
f268|Medical Questions - Spouse|Any disorders of the nervous system, for example epilepsy or any convulsion, transient ischemic attack (TIA), stroke, brain aneurysm, blackouts, chronic or regular headaches, Parkinson’s disease, multiple sclerosis, myasthenia gravis, dementia, hydrocephalus or raised intra-cranial pressure, motor neuron disease or any other type of weakness or paralysis?|""
f269|Medical Questions - Spouse|Details|""
f270|Medical Questions - Spouse|Doctor|""
f271|Medical Questions - Spouse|Date of last Symptoms|""
f272|Medical Questions - Spouse|Have you ever been diagnosed or treated for fibromyalgia, chronic fatigue syndrome or any chronic pain disorders?|""
f273|Medical Questions - Spouse|Details|""
f274|Medical Questions - Spouse|Doctor|""
f275|Medical Questions - Spouse|Date of last symptoms|""
f276|Medical Questions - Spouse|Have you ever been diagnosed, investigated or treated (by means of counselling or medicine), for stress, insomnia, anxiety, depression, bipolar mood disorder, panic attacks, post-traumatic stress disorder, obsessive compulsive disorder, any eating disorder or any other psychiatric or emotional disorders?|""
f277|Medical Questions - Spouse|Details|""
f278|Medical Questions - Spouse|Doctor|""
f279|Medical Questions - Spouse|Date of last symptoms|""
f280|Medical Questions - Spouse|Disorders of the digestive system, for example, oesophageal stenosis, achalasia, perforated or bleeding ulcer, Barrett’s oesophagitis, any hernia, irritable bowel syndrome (IBS), spastic colon, diverticulitis, inflammatory bowel disease, Crohn’s disease or ulcerative colitis, colon polyps, rectal bleeding, pancreatitis, hepatitis, chronic or recurrent diarrhea, chronic gastroenteritis, fatty liver, abnormal liver functions or coeliac disease?|""
f281|Medical Questions - Spouse|Details|""
f282|Medical Questions - Spouse|Doctor|""
f283|Medical Questions - Spouse|Date of last symptoms|""
f284|Medical Questions - Spouse|Have you ever been diagnosed, investigated or treated for any connective tissue disorder, or any auto-immune disorder, for example rheumatoid arthritis, systemic lupus erythematosus (SLE), ankylosing spondylitis, scleroderma, sarcoidosis, Sjögren’s syndrome, polymyositis, dermatomyositis, Wegener’s granulomatosis, Ehlers-Danlos syndrome or Marfan syndrome?|""
f285|Medical Questions - Spouse|Details|""
f286|Medical Questions - Spouse|Doctor|""
f287|Medical Questions - Spouse|Date of last symptoms|""
f288|Medical Questions - Spouse|Any disorders of your kidneys or bladder, like kidney stones, renal failure, nephritis, recurrent infections or abnormal urine tests (like blood or protein in the urine)?|""
f289|Medical Questions - Spouse|Details|""
f290|Medical Questions - Spouse|Doctor|""
f291|Medical Questions - Spouse|Date of last symptoms|""
f292|Medical Questions - Spouse|Respiratory problems, for example asthma, chronic bronchitis, emphysema, persistent coughing, recurrent lung infections, cystic fibrosis, bronchiectasis, lung fibrosis, interstitial lung disease, sleep apnoea, occupational lung disease, pneumonia, sarcoidosis or an abnormal lung function test?|""
f293|Medical Questions - Spouse|Details|""
f294|Medical Questions - Spouse|Doctor|""
f295|Medical Questions - Spouse|Date of last symptoms|""
f296|Medical Questions - Spouse|Have you ever been diagnosed with tuberculosis of the lungs or in any other area of the body, for example TB meningitis, urogenital TB, TB of the bones or spine?|""
f297|Medical Questions - Spouse|Details|""
f298|Medical Questions - Spouse|Doctor|""
f299|Medical Questions - Spouse|Date of last symptoms|""
f300|Medical Questions - Spouse|Do you know your HIV status?|""
f301|Medical Questions - Spouse|If Yes, when was your last test?|""
f302|Medical Questions - Spouse|Where was the test performed?|""
f303|Medical Questions - Spouse|What was your result?|""
f304|Medical Questions - Spouse|Have you ever used any treatment for HIV/ AIDS?|""
f305|Medical Questions - Spouse|If Yes, what was the indication for treatment and for how long was the treatment used?|""
f306|Medical Questions - Spouse|Any back, joint, bone, muscle or chronic skin conditions, for example back or neck problems or injuries (including muscle spasms and slipped disc), osteoarthritis, gout, septic arthritis, psoriatic arthritis, fracture, joint injury, osteoporosis or osteopenia, dermatitis, eczema or psoriasis?|""
f307|Medical Questions - Spouse|Details|""
f308|Medical Questions - Spouse|Doctor|""
f309|Medical Questions - Spouse|Date of last symptoms|""
f310|Medical Questions - Spouse|Have you ever been diagnosed or treated for diabetes mellitus, impaired fasting glucose, insulin resistance or pre-diabetes, or have you ever been diagnosed or treated for thyroid, parathyroid or pituitary gland problems, or any other endocrine disorders, like diabetes insipidus, Cushing’s disease or Addison’s disease?|""
f311|Medical Questions - Spouse|Details|""
f312|Medical Questions - Spouse|Doctor|""
f313|Medical Questions - Spouse|Date of last Symptoms|""
f314|Medical Questions - Spouse|Any eye, ear, nose or throat disorder, for example glaucoma, keratoconus, retinal detachment, optic neuritis, uveitis, scleritis, vision loss or blindness, tinnitus, hearing loss or deafness, vertigo or loss of balance or chronic hoarseness?|""
f315|Medical Questions - Spouse|Details|""
f316|Medical Questions - Spouse|Doctor|""
f317|Medical Questions - Spouse|Date of last symptoms|""
f318|Medical Questions - Spouse|(For male applicants): Have you ever had any abnormalities of the male genital tract, for example, prostatitis, benign prostatic hyperplasia (BPH), or abnormal prostate-specific antigen (PSA) blood test?|""
f319|Medical Questions - Spouse|Details|""
f320|Medical Questions - Spouse|Doctor|""
f321|Medical Questions - Spouse|Date of last symptoms|""
f322|Medical Questions - Spouse|(For Female Applicants): Have you ever had any abnormality of the breasts, including abnormal mammogram or sonar, breast biopsy or surgery?|""
f323|Medical Questions - Spouse|Details|""
f324|Medical Questions - Spouse|Doctor|""
f325|Medical Questions - Spouse|Date of last symptoms|""
f326|Medical Questions - Spouse|(For Female Applicants): Have you ever had any disorders of the female reproductive organs (ovaries, fallopian tubes, uterus, cervix etc), including an abnormal Pap smear, cysts and endometriosis?|""
f327|Medical Questions - Spouse|Details|""
f328|Medical Questions - Spouse|Doctor|""
f329|Medical Questions - Spouse|Date of last symptoms|""
f330|Medical Questions - Spouse|(For Female Applicants): Have you had any complications due to a previous or current pregnancy, for example, pre-eclampsia, abnormal bleeding, miscarriages or depression?|""
f331|Medical Questions - Spouse|Details|""
f332|Medical Questions - Spouse|Doctor|""
f333|Medical Questions - Spouse|Date of last symptoms|""
f334|Medical Questions - Spouse|(For Female Applicants):  Are you currently pregnant?|""
f335|Medical Questions - Spouse|If so, how many months?|""
f508|Medical Questions - Spouse|Have any members of your direct family (mother, father, siblings), whether alive or deceased, been diagnosed or treated for any other familial diseases not mentioned above?|""
f509|Medical Questions - Spouse|Details|""
f510|Medical Questions - Spouse|Date of last symptoms|""
f511|Medical Questions - Spouse|If not already mentioned, have you had any operations (including surgery to assist in weight loss), disability, accidents with injuries, hospital admissions for medical or surgical reasons, or are you aware of any future surgery, treatment or investigations that you need?|""
f512|Medical Questions - Spouse|Details|""
f513|Medical Questions - Spouse|Doctor|""
f514|Medical Questions - Spouse|Date of last symptoms|""
f515|Medical Questions - Spouse|If not already mentioned, have you had any of the following special investigations: genetic testing, tumour markers, biopsy, angiogram, MRI or CT scan, normal or abnormal back or neck X-rays, abnormal X-rays of any other body part?|""
f516|Medical Questions - Spouse|Details|""
f517|Medical Questions - Spouse|Doctor|""
f518|Medical Questions - Spouse|Date of last symptoms|""
f519|Medical Questions - Spouse|Are you awaiting results for any special investigations that have recently been done, or are you planning to seek medical advice for any symptoms or conditions that you have?|""
f520|Medical Questions - Spouse|Details|""
f521|Medical Questions - Spouse|Doctor|""
f522|Medical Questions - Spouse|Has a proposal for assurance for health, life, dread disease (or severe illness), disability insurance or functional impairment (income continuation) ever been declined, deferred or accepted with certain provisions, for example, premium loading or any exclusions?|""
f523|Medical Questions - Spouse|Details|""
f524|Medical Questions - Spouse|Have you been off work for more than seven consecutive days due to medical reasons in the last two years?|""
f525|Medical Questions - Spouse|Details|""
f526|Medical Questions - Spouse|Have you ever been medically boarded, or submitted a claim for short-term or long-term disability, serious illness (dread disease) or third party benefits?|""
f527|Medical Questions - Spouse|Details|""
